Nombre empleado,Sueldo Base,Descuento Salud,Descuento AFP,Sueldo Líquido
Juan Pérez,1038699,72708.93000000001,124643.87999999999,841346.19
María García,2247984,157358.88,269758.08,1820867.04
Carlos López,2113758,147963.06000000003,253650.96,1712143.98
Ana Martínez,1682002,117740.14000000001,201840.24,1362421.6199999999
Pedro Rodríguez,2446447,171251.29,293573.64,1981622.0699999998
Laura Hernández,1172862,82100.34000000001,140743.44,950018.22
Miguel Sánchez,1391048,97373.36000000002,166925.75999999998,1126748.88
Isabel Gómez,753742,52761.94,90449.04,610531.02
Francisco Díaz,2469064,172834.48,296287.68,1999941.84
Elena Fernández,1794061,125584.27000000002,215287.31999999998,1453189.41
